"Bulan","Suhu Udara Min (°C)","Suhu Udara Max (°C)","Suhu Udara Rata-rata (°C)","Kelembaban Udara (%)","Tekanan Udara (Mbs)","Kecepatan Angin (Knot)","Curah Hujan (mm)","Penyinaran Matahari (%)"
"1 Januari","23,9","31,7","26,9",83,"1012,8",2,"344,8",31
"2 Februari","24,2","32","27",83,"1013,1",2,"193",38
"3 Maret","24,6","32,6","27,5",81,"1013,4",3,"197,8",53
"4 April","24,5","33,1","27",81,"1012,2",4,"343,7",50
"5 Mei","23,5","34,8","27,8",84,"1012",3,"213,5",47
"6 Juni","22,8","34","27,5",83,"1012,4",4,"259,2",36
"7 Juli","22,4","33,9","27,5",80,"1013,1",4,"162,7",52
"8 Agustus","24","35,2","28",76,"1013,1",5,"57,6",61
"9 September","22,2","35,2","28,5",75,"1013,4",5,"0",36
"10 Oktober","23,2","36","28,9",74,"1013,8",5,"73,2",51
"11 November","23,4","35","28,4",80,"1012",4,"60,9",49
"12 Desember","23,6","35,6","28,6",78,"1012,7",5,"191,4",58
"13 Rata-Rata 2015","23,5","34,1","27,8",80,"1012,8",4,"174,8",47
"14 Rata-Rata 2014","23","35,1","27,7",81,"1011,9",4,"210,2",41
"15 Rata-Rata 2013","24,6","32,2","27,4",83,"1011,5",3,"237,8",42
"17 Rata-Rata 2012","24,6","32,3","28",81,"1010",3,"201,7",42
"18 Rata-Rata 2011","23,8","32,9","27,3",82,"1011,3",3,"249,2",39
"19 Rata-Rata 2010","24","33,2","27,7",83,"1011,6",3,"203,7",42
